,Titulo,Subtitulo,Noticia,Categoria,Data,Autor,URL,Classe
10,"Rio Grande do Norte recebe mais 81,7 mil doses de vacina covid-19",,o ministério saudar coordenar sábado 20/03 e n domingo 21/03 o distribuição milhão dose vacinar covid-19 o país e distrito federal comedir o receber lote imunizante proporcional e igualitário juntar indicação público-alvo fase campanha o planar nacional operacionalização vacinar o covid-19 rir norte receber 81.700 dose vacinar instituto butantan e astrazeneca – produzir brasil fundação oswaldo cruz fiocruz o informar técnico secretariar vigilância saudar svs divulgar pastar o remessar atender profissional saudar e idoso e ano dose imunizante astrazeneca direcionadas imunizar comunidade ribeirinho e quilombolas estratégia definir considerar o prazo o aplicação dosar imunizante fiocruz possuir intervalar semana facilitar o cumprimentar esquema vacinal locar difícil acesso,saúde,22/03/2021 08h03, ,https://www.gov.br/saude/pt-br/assuntos/noticias/rio-grande-do-norte-recebe-mais-81-7-mil-doses-de-vacina-covid-19,1
11,"

Divaldo Franco divulga mensagem urgente e diz que Brasil corre risco #boato 
",Boato – O médium Divaldo Franco divulgou uma mensagem urgente ao povo brasileiro na qual ele diz que o Brasil corre risco porque os espíritos de luz estão com dificuldade de nos ajudar.,mensagem urgente dedivaldofranco “ o brasil correr riscar espírito luzir dificuldade ajudar ” ler o mensagem atenção brasileiro preocupar o situação desconsolar e tristeza viver o brasileiro planar espiritual enviar instrução irmão participar movimentar espírita cristão sentir formar composto centro luzir o país visar alterar o padrão mental e vibratório d nação pátrio evangelho e coração mundo alertam-nos irmão o onda negativo pairar o pátrio propiciar o formação clima deletério similar o o ocorrer guerra mundial o lutar espiritual o ocorrido planar físico e levar o humanidade o o sofrimento supremo conhecer orientador prosseguir o clima instaurar pessoa o sentimento ódio vingança desesperança e pessimismo haver contar o possibilidade guerra civil levar consequência mazelar oriundo fratricídio impõe.porém contar filho deus pai infinitamente e justar falange amor indicar o medicamentar perfazer reverter consequência terrível doença assolar o coração o prece verdadeiro e direta desorientar governante e o mudança imediato padrão mental trocar o pessimismo otimismo o tristeza alegria o medo coragem e principalmente o desesperança acontecer o permissão pai maior.devido o concentração energia negativo emanar pessoa insatisfeito o político e representante o brasil preciso parar e orar “ preocupar semana chegar pedir oração guardião iluminar mentir e coração governante terrestre o nação correr perigar divulgar pedir divulgar mensagem”.divaldofranco oração junto forte e livrar o brasil d situação almo compartilhar mensagem e energia positivo divulgar o mensagem dedivaldopor o o alcançar e o pessoa elo forte d brasil,entretenimento,04/05/2020,"
Edgard Matsuki ",https://www.boatos.org/religiao/divaldo-franco-divulga-mensagem-urgente-diz-brasil-corre-risco.html,0
12,"CPI da Covid: na retomada do depoimento de Pazuello, senadores vão cobrar explicações sobre vacinas e crise em Manaus",,o comissão parlamentar inquérito cpi covid retomar n quinta-feira o depoimento ex-ministro saudar eduardo pazuello o sessão interrompido início atividades plenário o general passar e o presidente comissão senador omar aziz psd-am decidir adiar hoje questionamento senador inscrito oportunidade falar o etapa marcar contradição respostar pazuello e declaração anterior inconsistência relato testemunhar ouvir colegiado série dúvida esclarecido tentativo preservar o presidente jair bolsonaro ações e omissão governar federal combater covid-19 o ex-ministro apresentar versão diferente negociação o farmacêutico americano pfizer afirmar ignorar diverso o processar aquisição coronavac pazuello garantir desautorizar bolsonaro o comprar cancelar explorar senador vídeo gravar ex-ministro o o presidente justificar “ mandar outro obedecer d série conflitantes informar general o oxigênio manaus crise gestão deixar o assunto inacabado entender principal o explorar senador questionar relator comissão renan calheiros mdb-al explicar responder proposto comprar vacinar pfizer ano passar pazuello declarar o contratar cláusula assustador afirmar receber recomendação tribunal contar união tcu advocacia união agu e controladoria união cgu fechar o negócio horar calheiros comunicar o colega receber informação tcu desmentir o versão apresentar pazuello acordar o relator o cortar afirmar parecer contrário comprar vacinar ” o ex-ministro justificar o demorar negociação o farmacêutico preço oferecer e o quantidade dose negociar contratar comprar imunizante indiano covaxin o preço alto fechar dose apresentar pazuello divergir depoimento gerente-geral pfizer américa latino carlos murillo outubro o ministério saudar anunciar haver assinar protocolo intenção adquirir milhão dose coronavac produzir instituto butantan e laboratório chinês sinovac horar o presidente jair bolsonaro afirmar o imunizante comprar governar federal autorizar agência nacional vigilância sanitário anvisa existir descrédito o vacinar pazuello publicar vídeo justificar o conflito afirmar mandar e o outro obecede depoimento cpi o general excluir o responsabilidade presidente situação e alegar o frase jargão militar internet e apesar justificativo senador convencido pazuello completar autonomia tomar decisão frente saudar — passar o defender autonomia passar achar acontecer depoimento vir fabio wajngarten tomar decisão o capitão cloroquina mayra pinheiro secretário gestão trabalhar ms mandar e o carlos wizard opinar o único ministério mundo palpitar — afirmar o senador otto alencar psd-ba outro destacar alencar o consistência declaração pazuello o oxigênio atender paciente covid-19 manaus clima tenso o ex-ministro questionar o colapso saudar amazonense e afirmar autoridade locar alertar o problema antecedência e chegar janeiro o ex-ministro afirmar o escassez oxigênio durar dia e provocar revolto senador o amazonense eduardo braga mdb-am afirmar o crise durar dia otto alencar o ex-ministro “ explicar e desmentir senador ” o assunto alvo questionamento principal recurso retórico governar bolsonaro combater pandemia o recomendação cloroquina medicamentar antiprotozoário eficácia tratamento covid-19 amenizar eduardo pazuello questionar o remédio o aposto presidente afirmar “ hipótese algum o presidente ordem diretas ” dúvida existir parâmetro o cloroquina ministério saudar doença história tratar publicação site aplicativo o covid resolver distribuir receitar médico absurdo e levar o problema sério ficar surpresar reclamação ex-ministro perguntar feito raso cursar rápido medir o covid amanhã — finalizar alencar,brasil, Publicado em  20/05/21 04:30 ,Filipe Vidon,https://extra.globo.com/noticias/brasil/cpi-da-covid-na-retomada-do-depoimento-de-pazuello-senadores-vao-cobrar-explicacoes-sobre-vacinas-crise-em-manaus-25025697.html,1
13,"Após aglomeração na Libertadores, Palmeiras x Defensa terá protocolo rígido  ",,criticar liberar entrar maracanã convidar libertador palmeiro e santo janeiro cumprir regrar distanciamento social exigir evitar o infecção covid-19 o conmebol preparar protocolo sanitário rígido o decisão recopa palmeiro e defensar y justicia arg enfrentar noite d quarta-feira estádio mané garrincha brasília haver convidar patrocinador haver limitação presença jornalista e haver redução funcionário efetivos e terceirizados trabalhar durante o confrontar exigir testar negativar pcr covid-19 acessar o estádio o protocolo o libertador e sul-americana e exceções aberto finar único torneio janeiro principalmente jogar maracanã,política,14/04/2021 10h50 ,14/04/2021 10h50 ,https://www.uol.com.br/esporte/futebol/colunas/marcel-rizzo/2021/04/14/apos-aglomeracao-na-libertadores-recopa-tera-protocolo-rigido-em-brasilia.htm,1
14,Ministério da Saúde conta com parceria da GOL Linhas Aéreas para distribuir vacinas pelo Brasil,,o governar federal contar logístico gol e gollog levar significativo dose vacinar o voo significativo imunizante instituto butantan guarulhos sp segunda-feira 18/01 destinar o curitiba pr e rir janeiro rj centro econômicos e densidade populacional o parceria o companhia aéreo e o ministério saudar permitir agilidade entregar insumo o custar o união comunicar o gol garantir o empresar preparar desempenhar importante papel “ completamente preparar cumprir importante missão malhar aéreo abrangente rir janeiro e câmara frio exclusivo terminal carga paulo ” informar parceria,saúde,19/01/2021 20h03,Ministério da Saúde(61) 3315-3587 / 3580,https://www.gov.br/saude/pt-br/assuntos/noticias/ministerio-da-saude-conta-com-parceria-da-gol-linhas-aereas-para-distribuir-vacinas-pelo-brasil,1
15,Freixo defende entrada do PSOL em bloco de Maia para eleição na Câmara  ,,o deputar federal marcelo freixo psol-rj defender n o entrar coalizão liderar rodrigar maio dem-rj disputar o presidência câmara deputar cobrar maturidade correligionário contar deputar federar o psol fechar lançar candidatura apoiar o acontecer janeiro democrata o dever histórico impedir o reeleição bolsonaro e derrotá-lo disputar o presidência câmara deputar etapa fundamental n caminhar afirmar freixo disputar o presidência câmara o pt o bloco costurar maio contar dem mdb psl psdb cidadania e pv receber o adesão esquerdo pt psb pdt pcdob e redar,política,21/12/2020 18h25 ,21/12/2020 18h25 ,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2020/12/21/freixo-defende-entrada-do-psol-em-bloco-de-maia-para-eleicao-na-camara.htm,1
16,"

Sheik árabe vai investir R$ 5 bilhões no Flamengo e construir estádio no Brasil #boato 
",Boato – O mesmo sheik árabe que vai investir no Pré-sal resolveu investir R$ 5 bilhões no Flamengo e construir um estádio para 130 mil pessoas no Brasil.,empolgar o visibilidade flamengo arábio saúde sheik multimilionário pretender investir programar pré-sal aliar o o flamengo parceria marketing história futebol,entretenimento,15/11/2019,"
Edgard Matsuki ",https://www.boatos.org/esporte/sheik-arabe-investir-5-bilhoes-flamengo-construir-estadio.html,0
17,"

Moro vai demitir 180 petistas que ganham mais de R$ 16 mil do Coaf #boato 
","Boato – Bolsonaro passou o Coaf para o futuro ministro Sérgio Moro, que vai demitir 180 petistas. É por isso que estão “atacando” o presidente eleito.",bolsonaro passar o coaf pro morar demitir petistas salário o oh lapada hahahahahahaha entender o casar coaf o bolsonaro passar o órgão o o morar e demitir petistas salário o real porco morrer grito … claro tá começar ficar firme canelar esquerdo q desestabilizar o governar o td instante,política,10/12/2018,"
Edgard Matsuki ",https://www.boatos.org/politica/moro-demitir-180-petistas-coaf.html,0
18,"Coronavírus: triagem em navios e aviões será feita quando houver caso suspeito, informa Anvisa","Notificação de sintomas é compulsória, disse diretor-presidente da Agência Nacional de Vigilância Sanitária. Por enquanto, órgão reforçou ações de informação em portos e aeroportos.",o agência nacional vigilância sanitário anvisa informar n segunda-feira n haver necessidade triagem compulsório avião navio medir evitar o entrar coronavírus país o diretor-presidente anvisa antonio barrir torre afirmar o triagem feito haver notificação casar suspeitar tripulante passageiro sintoma doença e passar chino barrir destacar o notificação sintoma compulsório e punir “ compulsório caso notificação feito o equipar acesso quele veículo efetuar triagem inicial e verificar haver subsídio mínimo justificar medir tratar ficar escolher comandante navio compelir forçar diplomar legar reger o profissão d o notificação ” afirmar,ciência, 27/01/2020 18h18 , Por G1 — Brasília ,https://g1.globo.com/ciencia-e-saude/noticia/2020/01/27/coronavirus-triagem-em-navios-e-avioes-sera-feita-quando-houver-caso-suspeito-informa-anvisa.ghtml,1
19,É falso que o TSE atualizou apuração baseado em informações de site de notícias,,o tse fornecer informação apuração o site notícia e o contrário afirmar vídeo publicar facebook falso afirmação “ o resultar modificar o votação ” e “ voto nulo e abstenção distribuir candidato ”,política,2020/11/20,Comprova,https://projetocomprova.com.br/publicações/e-falso-que-o-tse-atualizou-apuracao-baseado-em-informacoes-de-site-de-noticias/,0
20,"
  A CoronaVac ainda não foi avaliada por agências reguladoras dos EUA e da UE","Publicações que afirmam que a vacina CoronaVac é proibida nos Estados Unidos e na Europa circulam pelas redes sociais pelo menos desde o último 4 de maio, com mais de 2,6 mil compartilhamentos. Essa afirmação, entretanto, é falsa porque a agência reguladora europeia ainda analisa a segurança e eficácia do imunizante, enquanto o órgão correspondente nos Estados Unidos não fez sua avaliação até o momento. Envie-nos por WhatsApp Email",“ coronavac proibir sic eua e europa bolsonaro querer o vacinar chinês ” o texto imagem compartilhar facebook e instagram o alegação circular juntar o reportagem jornal record certificar vacinação adotado união europeu o notícia o parlamentar europeu aprovar o restrição viajante vacinar imunizante autorizar órgão regulador bloco econômico o medir estender quele imunizar o coronavac laboratório chinês sinovac entanto o o contrário afirmar publicação referência resistência presidente jair bolsonaro vacinar produzir chino imunizante proibir regulador americano e europeu avaliar efeito,saúde,13/05/2021 às 22:35,AFP Brasil,https://checamos.afp.com//coronavac-ainda-nao-foi-avaliada-por-agencias-reguladoras-dos-eua-e-da-ue,0
21,"

Galvão Bueno morreu hoje aos 69 anos em um acidente gravíssimo #boato 
",Boato – O narrador Galvão Bueno morreu hoje em um acidente gravíssimo de carro aos 69 anos de idade. Site mostra as imagens.,triste noticiar morrer hoje acidentar gravissimo o comentarista galvão bueno o ano .. exatado acidentar video completar site descansar paz .. noticiar muitoi triste abalar o brasileiro n noite acontecer o cidade lorianópolis;sco pai chocar noticiar apresentador galvão bueno morrer o o ano video gravar acidentar correr rede social assistir o video,entretenimento,04/09/2019,"
Edgard Matsuki ",https://www.boatos.org/esporte/galvao-bueno-morreu-hoje-acidente.html,0
22,vídeo mostrar fraudar ocorrido urna eletrônicas fortalezar ce,"desde o início da tarde de hoje (29), circula nas redes sociais, principalmente no instagram, twitter e facebook (1,2,3), mais um vídeo onde mostraria uma suposta fraude envolvendo urnas eletrônicas! as publicações não forneciam muitos detalhes, e diziam apenas que o caso teria ocorrido no bairro conjunto ceará, em fortaleza/ce.",único publicação twitter vídeo obter visualização horar,política,29/11/2020,marco faustino,https://www.e-farsas.com/video-nao-mostra-fraude-ocorrida-em-urnas-eletronicas-em-fortaleza-ce.html,0
23,"

Guilherme Boulos é dono de um jatinho particular (avião de luxo) #boato 
",Boato – O socialista Guilherme Boulos é dono de um avião de pequeno porte. Foto que mostra ele entrando em jatinho particular é a prova disso.,hein guilherme boulos o invasor terra … o teto … dono jatinho boulos e jatinho particular manobrar pobre usurpar mentir e o capitalismo opressor socialista amo o dinheiro alhear d viver,política,16/08/2020,"
Edgard Matsuki ",https://www.boatos.org/politica/guilherme-boulos-dono-jatinho-particular-aviao-luxo.html,0
24,"

Câmera infravermelho mostra míssil atingindo porto de Beirute (Líbano) #boato 
","Boato – Imagens de uma câmera infravermelho mostra um míssil atingindo o porto de Beirute, no Líbano, e mostra que explosão não foi um acidente.",pra achar beirute acidentar tá câmera infra vermelhar camera infravermelho míssel atacar beirute exclusivo – explosão beirute líbano – câmera térmico virar algum anormal olhar vídeo o câmera infravermelho pra míssil cair deixar dúvida atentar aqua explosão beirute o passar o narrativo acidentar cair terra … camera infravermelho …,mundo,07/08/2020,"
Edgard Matsuki ",https://www.boatos.org/mundo/camera-infravermelho-mostra-missil-atingindo-porto-beirute-libano.html,0
25,"

Márcio Rocha, operador da Nasdaq, critica cobertura da mídia em relação ao coronavírus #boato 
",Boato – O operador da Bolsa de Valores da Nasdaq em Nova York Márcio Rocha gravou um vídeo criticando a cobertura da mídia em relação ao coronavírus e diz que pandemia não é tão grave assim.,o operador bolsar valorar márcio rocha nasdaq ny brasileiro e operador bolsar enviar o áudio amigo operador brasil escutar e reflita o visão marcio rocha morar oakville canadá e trabalhar nasdaq ny 20/03/20 postagem político e realidade radiar bandeirante áudio 20/03/20 o visão márcio rocha brasileiro morar oakville canadá e trabalhar nasdaq york … postagem político o visão realidade econômica,brasil,06/04/2020,"
Edgard Matsuki ",https://www.boatos.org/brasil/marcio-rocha-operador-nasdaq-critica-cobertura-midia-relacao-coronavirus.html,0
26,AstraZeneca anuncia atraso em envios de vacinas para a União Europeia  ,,"londres mar afp o gigante farmacêutico astrazeneca anunciar hoje atrasar envio vacinar anticovid-19 o união europeu golpe o esforço acelerar o vacinação persistir temor sanitário produto defender oms o companhia alegar problema produção e restrição exportação justificar atraso país suspender n semana o aplicação produto astrazeneca medo formação coágulo sangue apesar o organização mundial saudar oms garantir sexta-feira haver motivar deixar vacinar o covid-19 doença causar 2,6 milhão morte planeta",saúde,13/03/2021 20h53 ,13/03/2021 20h53 ,https://noticias.uol.com.br/ultimas-noticias/afp/2021/03/13/ue-sofre-atraso-na-entrega-de-vacinas-astrazeneca-recomendado-pela-oms-em-meio-a-polemicas-sobre-efeitos-colaterais.htm,1
27,DF incia agendamento para vacinar outros profissionais ligados à saúde  ,,o secretariar saudar distrito federal manhã hoje o agendamento dosar vacinar o covid-19 profissional saudar instituto médico legal e registrar e entidade representativo biologia nutrição educação físico fisioterapia e terapia ocupacional fonoaudiologia psicologia técnico radiologia enfermagem medicinar odontologia biomedicina veterinário serviço social farmácia e agente funerário o expectativa o vacinar etapa cercar profissional fase o março fase seguinte definir o recebimento dose o fase adicionar total profissional cadastrar informar o secretariar o vacinação funcionar seguinte e entidade representativo d categoria profissional enviar secretariar saudar df lista conter nome cpf e registrar profissional integrante o cadastrar d lista o agendamento disponibilizar site,saúde,25/03/2021 10h24 ,25/03/2021 10h24 ,https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2021/03/25/df-faz-agendamento-para-vacinar-outros-profissionais-ligados-a-saude.htm,1
28,STF: ministros se unem e devem confirmar em plenário decisão de prender deputado  ,,"Ministros do Supremo Tribunal Federal (STF) conversaram previamente à ordem de prisão expedida na terça-feira à noite contra o deputado federal Daniel Silveira (PSL-RJ) que os ofendeu em um vídeo divulgado nas redes sociais e, num sinal de união da corte, devem confirmar na tarde desta quarta-feira a decisão de Alexandre de Moraes de prender o parlamentar, disseram à Reuters fontes a par do caso. Silveira fez graves acusações a ministros do Supremo, defendendo a destituição de magistrados e uma apologia ao AI-5, mais duro ato da ditadura militar que restringiu uma série de liberdades individuais. Moraes e os demais ministros conversaram entre si para alinhar uma posição majoritária e posteriormente houve a comunicação da decisão ao presidente da Câmara, Artur Lira (PP-AL), informaram as fontes.",política,17/02/2021 10h17 ,17/02/2021 10h17 ,https://noticias.uol.com.br/ultimas-noticias/reuters/2021/02/17/ministros-do-stf-se-unem-e-devem-confirmar-em-plenario-decisao-de-prender-deputado.htm,1
29,Mais de 90% dos leitos de hospitais de Tóquio para pacientes de Covid-19 estão ocupados  ,,"tóquio reuters leito hospital separar paciente covid-19 tóquio ocupar o ministério saudar japão n domingo sublinhar o necessidade urgente limitar o disseminação coronavírus o ministério afirmar 1.830 paciente covid-19 hospitalizar capital abril 91,6 2.000 leito disponível paciente o governar metropolitano tóquio aumentar o leito paciente covid-19 4.000 algum haver o possibilidade o vírus espalhar necessário aproximar o leito atuais 2.000 objetivo rapidamente reuters autoridade ministério saudar",saúde,10/05/2020 14h40 ,10/05/2020 14h40 ,https://noticias.uol.com.br/ultimas-noticias/reuters/2020/05/10/mais-de-90-dos-leitos-de-hospitais-de-toquio-para-pacientes-de-covid-19-estao-ocupados.htm,1
30,Áudio vazado de suposto assessor do governador do Ceará é falso,,envolvido negar o conteúdo áudio e o nome ricardo certi constar lista servidor estadual cear encontrar buscar o único nome semelhante encontrar riccardo certi barítono italiano bréscia,saúde,2020/03/31,Comprova,https://projetocomprova.com.br/publicações/audio-vazado-de-suposto-assessor-do-governador-do-ceara-e-falso/,0
31,Jogadores precisarão treinar de máscara no retorno do futebol inglês  ,,o retornar futebol simples o pandemia coronavírus clube jogador e torcedor rotina diferente e d treinar utilizar máscara o sky sports prever projeto recomeçar campeonato inglês determinação planar encabeçar médico mark gillet utilização máscara durante atividades jogador equipamento trabalhar cone gps e chuteira objetos desinfetados o atividade terminar precisar estacionar carro distanciamento vestiário controlar e o treino precisar respeitar limitação orientação estabelecido converso médico espanha e alemanha seguir rotina semelhante o o longo período retornar jogador passar teste coronavírus retomar treino e avaliar o dia regrar precisar aprovar clube jogador e governar entrar vigor,saúde,30/04/2020 08h38 ,"Do UOL, em Porto Alegre",https://www.uol.com.br/esporte/futebol/ultimas-noticias/2020/04/30/jogadores-precisarao-treinar-de-mascara-no-retorno-do-futebol-ingles.htm,1
32,"STF fala 'uma só voz', realça decano à Câmara  ",,o prisão deputar brucutu daniel silveiro psl-rj mudar patamar deixar ordem ministrar alexandre moraes tornar decisão unânime ministro supremo tribunal federal caber o o decano marcar aurélio mello informar câmara o significar costa largo o ministrar alexandre moraes o câmara deputar — e n pressão — apreciar atar individual atar colegiado formalizar o voz constituição o plenário câmara abrir o cela deputar preso flagrante o manifestação marcar aurélio o pesar inquirição o ministrar interrogar deputar calar o supremo voz o deputar desqualificar,política,17/02/2021 16h20 ,17/02/2021 16h20 ,https://noticias.uol.com.br/colunas/josias-de-souza/2021/02/17/stf-fala-uma-so-voz-realca-decano-a-camara.htm,1
33,Estudo com hidroxicloroquina não comprova eficácia no ‘tratamento precoce’,,enganoso postagem o twitter associar estudar pré-publicado revisão parir utilização hidroxicloroquina o tratamento precoce o covid-19 defender bolsonaro e apoiadores d o estudar realizar paciente gravar,saúde,2021-06-15,Comprova,https://projetocomprova.com.br/publicações/estudo-com-hidroxicloroquina-nao-comprova-eficacia-no-tratamento-precoce/,0
